,xray_0_min_0,xray_0_min_0_rmsd_avg,xray_0_min_0_r_work_0,xray_0_min_0_r_free_0,xray_0_min_0_pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_81/log.csv,5.127576126559522,0.2721254167375896,0.2166744845514409,0.2883570149247917,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_81/pdbs/161.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_78/log.csv,5.118023859061513,0.2651807926734297,0.2151198581480915,0.2836818645663581,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_78/pdbs/180.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_75/log.csv,5.119651313989653,0.246917554352402,0.2149515062780192,0.2789577734748502,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_75/pdbs/126.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_67/log.csv,5.1207791442305854,0.279948259932823,0.2143521805093541,0.2845941182358866,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_67/pdbs/186.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_69/log.csv,5.124328337131066,0.2294649556674558,0.2152778460746533,0.288030326437838,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_69/pdbs/105.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_68/log.csv,5.119913568368953,0.3188914682194362,0.2173091922269807,0.2823424478927096,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_68/pdbs/886.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_76/log.csv,5.121657905806643,0.2371603269438494,0.2167805574355857,0.285484367310886,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_76/pdbs/168.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_73/log.csv,5.115581772847103,0.3341874621936502,0.2159802157701951,0.2821628912631463,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_73/pdbs/556.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_84/log.csv,5.121455060098256,0.2821949343521375,0.2166486515673122,0.2835118165015189,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_84/pdbs/170.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_85/log.csv,5.127231492432174,0.2605158043729189,0.216035524075574,0.2907207318167105,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_85/pdbs/149.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_86/log.csv,5.12270384658285,0.2757489396938459,0.2160265116489246,0.2829504999126551,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_86/pdbs/186.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_89/log.csv,5.127741217297259,0.2471622641987741,0.2176548913396398,0.2907366484707304,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_89/pdbs/195.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_90/log.csv,5.115025768639394,0.2586314889478223,0.2144976814919249,0.2813487919850473,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_90/pdbs/168.pdb
/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_93/log.csv,5.12281559436069,0.2762721180843907,0.2163225338347089,0.2845891564119887,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/56_7mhf_2/986723/output_93/pdbs/153.pdb
