,r_free,ff,pdb,w_0,cif_name,N,J,job_id,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,exp_delta,ref_delta,ref_ff_delta,job_cif_str
19000,0.2418233340475056,8609.91920629785,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19000.pdb,0.4522312668371833,7mhh,2,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.5477687331628166,,,,,,,,,,,,,,,-0.011176665952494391,-0.05715280212423168,8149.328292805827,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
9750,0.2687853995123139,1958.68051116521,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9750.pdb,0.5115245263040294,7mhi,2,1,3,7mhi,0.4884754736959706,,,,,,,,,,,,,,,0.040785399512313886,-0.016586888191980897,860.8390822850672,7mhi
11115,0.2340535514971503,8699.713308693568,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/11115.pdb,0.4824712153905463,7mhi,2,2,18,"7mhi,7mhj",0.5175287846094536,,,,,,,,,,,,,,,0.0060535514971502835,-0.0513187362071445,7601.871879813425,"7mhi,7mhj"
12654,0.2519716883891316,3685.4476723919497,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/12654.pdb,0.5968438210096182,7mhi,2,3,29,"7mhf,7mhi,7mhk",0.4031561789903818,,,,,,,,,,,,,,,0.02397168838913158,-0.033400599315163204,2587.606243511807,"7mhf,7mhi,7mhk"
17258,0.2069250186155171,4930.165471532415,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/17258.pdb,0.4826452803493169,7mhi,2,4,55,"7mhh,7mhi,7mhj,7mhk",0.517354719650683,,,,,,,,,,,,,,,-0.02107498138448291,-0.0784472690887777,3832.324042652272,"7mhh,7mhi,7mhj,7mhk"
18790,0.2233709847860991,6666.763490875052,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/18790.pdb,0.5259974087041329,7mhi,2,5,61,"7mhg,7mhh,7mhi,7mhj,7mhk",0.4740025912958671,,,,,,,,,,,,,,,-0.004629015213900911,-0.062001302918195694,5568.92206199491,"7mhg,7mhh,7mhi,7mhj,7mhk"
19072,0.2319647167103549,8785.146588753203,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/19072.pdb,0.4649080094511501,7mhi,2,6,62,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk",0.53509199054885,,,,,,,,,,,,,,,0.003964716710354893,-0.05340757099393989,7687.30515987306,"7mhf,7mhg,7mhh,7mhi,7mhj,7mhk"
9811,0.285326330652998,1910.8201831035256,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/9811.pdb,0.5253523735229388,7mhj,2,1,4,7mhj,0.4746476264770611,,,,,,,,,,,,,,,0.045326330652998015,-0.012409744995814098,999.990587224906,7mhj
11300,0.2554645991288004,2794.0361608830194,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/11300.pdb,0.4890769858641182,7mhj,2,2,20,"7mhj,7mhk",0.5109230141358818,,,,,,,,,,,,,,,0.015464599128800383,-0.04227147652001173,1883.2065650043999,"7mhj,7mhk"
12800,0.2698215929115916,3281.3123317821564,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/12800.pdb,0.5179214124039561,7mhj,2,3,30,"7mhf,7mhj,7mhk",0.482078587596044,,,,,,,,,,,,,,,0.029821592911591588,-0.027914482737220525,2370.482735903537,"7mhf,7mhj,7mhk"
17328,0.2149164462926653,5528.099832405311,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/17328.pdb,0.4685631526143642,7mhj,2,4,55,"7mhh,7mhi,7mhj,7mhk",0.5314368473856358,,,,,,,,,,,,,,,-0.0250835537073347,-0.08281962935614681,4617.270236526691,"7mhh,7mhi,7mhj,7mhk"
18574,0.2400537397250764,6823.211421511013,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/179_exp_ref_10000/18574.pdb,0.5447283137378816,7mhj,2,5,60,"7mhf,7mhh,7mhi,7mhj,7mhk",0.4552716862621185,,,,,,,,,,,,,,,5.373972507641267e-05,-0.0576823359237357,5912.381825632394,"7mhf,7mhh,7mhi,7mhj,7mhk"
